name                                  x         y          z     typ   spect         mass  m.unit    radius  unit     temp  orbits   orbit params - semimajor axis, period, excentricity

Proxima Centauri                 ,  2.945  , -3.056  ,  -0.143  , S   ,M5 Ve  ,     0.12  ,  Ms  ,  0.14  ,  Rs    ,  3050  , AB ,  10000*  ,              , 
Proxima Centauri d               ,  2.945  , -3.056  ,  -0.143  , PT  ,       ,     0.36  ,  Me  ,  0.7   ,  Re?   ,   270  , C  ,  0.0288  ,    0.0141    ,     0.04
Proxima Centauri b               ,  2.945  , -3.056  ,  -0.143  , PT  ,       ,     1.5   ,  Me  ,  1.1   ,  Re?   ,   210  , C  ,  0.049   ,    0.0306    ,     0.02
Proxima Centauri c               ,  2.945  , -3.056  ,  -0.143  , PN? ,       ,     7.6   ,  Me  ,  2.3   ,  Re?   ,    38  , C  ,  1.5     ,    5.3       , 
Alpha Centauri A                 ,  3.126  , -3.047  ,  -0.052  , S   ,G2 V   ,     1.106 ,  Ms  ,  1.27  ,  Rs    ,  5720  ,    ,          ,              , 
Alpha Centauri B                 ,  3.125  , -3.047  ,  -0.052  , S   ,K0 V   ,     0.937 ,  Ms  ,  0.96  ,  Rs    ,  5080  , A  ,  23.51   ,    79.91     ,    0.518
Barnard's star                   ,  4.958  ,  2.980  ,   1.449  , S   ,M3.5 V ,     0.16  ,  Ms  ,  0.17  ,  Rs    ,  3340  ,    ,          ,              , 
Luhman 16 A                      ,  1.697  , -6.249  ,   0.600  , BD  ,L7.5   ,     33.5  ,  Mj  ,  1.01  ,  Rj    ,  1330  ,    ,          ,              , 
Luhman 16 B                      ,  1.697  , -6.249  ,   0.600  , BD  ,T0.5   ,     28.6  ,  Mj  ,  1.02  ,  Rj    ,  1260  , A  ,  3.56    ,    27.5      ,    0.343
WISE J085510.83-071442.5         , -3.967  , -5.664  ,   2.985  , PJ  ,Y2     ,     6.5   ,  Mj  ,  1     ,  Rj?   ,   250  ,    ,          ,              , 
Wolf 359                         , -1.916  , -3.938  ,   6.522  , S   ,M5.5 V ,     0.09  ,  Ms  ,  0.16  ,  Rs    ,  2500  ,    ,          ,              , 
Wolf 359 c                       , -1.916  , -3.938  ,   6.522  , PT  ,       ,     4.4   ,  Me  ,  1.6   ,  Re?   ,   300  ,    ,  0.018   ,    0.0074    ,     0.15
Wolf 359 b                       , -1.916  , -3.938  ,   6.522  , PN  ,       ,     50    ,  Me  ,  8     ,  Re?   ,    30  ,    ,  1.84    ,    8.04      ,     0.04
Lalande 21185                    , -3.439  , -0.308  ,   7.553  , S   ,M2 V   ,     0.46  ,  Ms  ,  0.49  ,  Rs    ,  3480  ,    ,          ,              , 
Lalande 21185 b                  , -3.439  , -0.308  ,   7.553  , PT  ,       ,     3.1   ,  Me  ,  1.4   ,  Re?   ,   350  , A  ,  0.079   ,    0.035     ,     0.12
Lalande 21185 c                  , -3.439  , -0.308  ,   7.553  , PN  ,       ,     20    ,  Me  ,  5     ,  Re?   ,    56  ,    ,  3.1     ,    8.7       ,     0.14
Sirius A                         , -5.809  , -6.280  ,  -1.338  , S   ,A1 V   ,     1.99  ,  Ms  ,  2.09  ,  Rs    ,  8860  ,    ,          ,              , 
Sirius B                         , -5.843  , -6.317  ,  -1.346  , WD  ,DA2    ,     0.98  ,  Ms  ,  0.8   ,  Re    , 25200  , A  ,  20.1    ,    49.94     ,    0.588
Luyten 726-8 A                   , -2.171  ,  0.171  ,  -8.544  , S   ,M5.5 V ,     0.11  ,  Ms  ,  0.17  ,  Rs    ,  2800  ,    ,          ,              , 
Luyten 726-8 B                   , -2.171  ,  0.171  ,  -8.544  , S   ,M6 V   ,     0.1   ,  Ms  ,  0.31  ,  Rs    ,  2500  , A  ,  5.22    ,    26.52     ,     0.62
Ross 154                         ,  9.365  ,  1.873  ,  -1.733  , S   ,M3.5 Ve,     0.17  ,  Ms  ,  0.15  ,  Rs    ,  3470  ,    ,          ,              , 
Ross 248                         , -3.370  ,  9.265  ,  -3.003  , S   ,M5.5 V ,     0.12  ,  Ms  ,  0.24  ,  Rs    ,  2800  ,    ,          ,              , 
Epsilon Eridani                  , -6.753  , -1.917  ,  -7.811  , S   ,K2 V   ,     0.85  ,  Ms  ,  0.895 ,  Rs    ,  5116  ,    ,          ,              , 
